addr:street,building,name,name:kn,addr:housenumber,addr:city,addr:postcode,name:en,nodes,building:levels,building:material,alt_name,shop,amenity,government,office,roof:levels,addr:housename,addr:suburb,organic,payment:credit_cards,payment:debit_cards,website,addr:country,branch,brand,brand:wikidata,email,phone,note,addr:district,addr:full,addr:state,source,nohousenumber,religion,layer,brand:ks,brand:pa,brand:ur,brand:wikipedia,cuisine,name:ks,name:pa,name:ur,takeaway,tourism,fixme,opening_hours,landuse,check_date,operator,dog,internet_access,pets,roof:shape,short_name,healthcare,air_conditioning,not:brand:wikidata,payment:cash,payment:contactless,building:levels:underground,construction,height,ways,type,building_category,area_sqm,levels,estimated_floor_area_sqm,height_meters,has_address,longitude,latitude
80 Feet Peripheral Rd,retail,Reliance Digital,ರಿಲಾಯನ್ಸ್ ಡಿಜಿಟಲ್,18,Bangalore,560095,nan,"[1761893963, 1761893964, 1761893968, 1761893966, 1761893965, 1761893960, 1761893963]",nan,nan,nan,electronics,nan,nan,nan,nan,"Reliancedigital Retail Ltd.,",nan,nan,nan,nan,https://www.reliancedigital.in/,IN,Retail Ltd,Reliance Digital,Q7311012,crm_dan.4598_kor@zmail.ril.com,+91 80 40933777,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,694.1588739887434,,694.1588739887434,,True,77.6280704065918,12.936462309263872
nan,apartments,Jain Heights Avalon,nan,nan,nan,nan,nan,"[1761893956, 1761893954, 1761893957, 1761893955, 1761893953, 1761893952, 1761893951, 1761893950, 1761893949, 1761893945, 1761893942, 1761893943, 1761893944, 1761893946, 1761893948, 1761893956]",8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,419.42848842244814,8.0,3355.427907379585,,False,77.62839439960054,12.936119267890918
nan,commercial,Lotus,nan,nan,nan,nan,nan,"[1761893967, 1761893962, 1761893958, 1761893961, 1761893967]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,565.1120430765736,,565.1120430765736,,False,77.62742074253862,12.936410858738657
nan,commercial,nan,nan,nan,nan,nan,nan,"[1761893970, 1761893969, 1761893972, 1761893977, 1761893975, 1761893971, 1761893970]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,The Brew House,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,1072.2315864639672,,1072.2315864639672,,False,77.62710907704108,12.937807705118233
nan,retail,nan,nan,nan,nan,nan,nan,"[1761893973, 1761893974, 1761893976, 3525179513, 3525179517, 1761893979, 1761893980, 1761893981, 1761893982, 1761893978, 1761893973]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,1074.6924170135221,,1074.6924170135221,,False,77.62751512666237,12.93808578383484
nan,commercial,nan,nan,nan,nan,nan,nan,"[1762201153, 1762201150, 1762201152, 1762201156, 1762201153]",5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,392.11674786653384,5.0,1960.5837393326692,,False,77.62732981615413,12.937196755483155
nan,yes,BSNL Telephone Exchange,ಬಿಎಸ್ಎನ್ಎಲ್,nan,nan,nan,nan,"[1762395907, 1762395909, 1762395911, 1762395917, 1762395913, 1762395915, 1762395905, 1762395904, 1762395907]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,709.0953690890079,,709.0953690890079,,False,77.62715087152583,12.93229904662041
nan,yes,Chinmaya Mission School,ಚಿನ್ಮಯ ಶಾಲೆ,nan,nan,nan,nan,"[1762395953, 1762395941, 1762395942, 1762395948, 1762395955, 1762395946, 1762395934, 1762395921, 1762395928, 1762395926, 1762395930, 1762395932, 1762395944, 1762395961, 1762395959, 1762395964, 1762395957, 1762395953]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,1763.8452315933787,,1763.8452315933787,,False,77.62764590656882,12.93518551100769
nan,yes,nan,nan,nan,nan,nan,nan,"[1768301522, 1768301521, 1768301524, 1768301525, 1768301522]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,461.23085541765903,,461.23085541765903,,False,77.629914702689,12.933848033768873
"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala",commercial,Sneha Plaza,nan,640,Bengaluru,560034,nan,"[1768301530, 1768301529, 1768301527, 1768301526, 1768301528, 1768301530]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Bengaluru Urban,"640, 12Th Main, 80 Ft Road, 4Th Block, Koramangala",Karnataka,OpenGovernmentData,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,478.0455239532409,,478.0455239532409,,True,77.62957301599307,12.934164694505013
nan,commercial,K R Cornerstone,nan,nan,nan,nan,nan,"[1768301532, 1768301531, 1768301533, 1768301534, 1768301536, 1768301535, 1768301532]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,368.1779000766363,,368.1779000766363,,False,77.62995967549483,12.934454320866521
nan,commercial,SSS Complex,nan,nan,nan,nan,nan,"[1768301523, 1768301519, 1768301518, 1768301520, 1768301523]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,commercial,495.0264831920516,,495.0264831920516,,False,77.6301360794173,12.933647478463923
nan,apartments,Yamuna Block,ಯಮುನ ಬ್ಲಾಕ್,nan,nan,nan,nan,"[1837285109, 1837285132, 1837285138, 1837285149, 1837285142, 1837285164, 1837285205, 1837285191, 1837285189, 1837285177, 1837285181, 1837285166, 1837285109]",7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,7113.621740272569,7.0,49795.35218190798,,False,77.62221542532517,12.947537213483901
nan,apartments,Krishna Block,ಕೃಷ್ಣಾ ಬ್ಲಾಕ್,nan,nan,nan,nan,"[1837285051, 1837285065, 1837285070, 1837285074, 1837285073, 1837285078, 1837285154, 1837285136, 1837285130, 1837285112, 1837285123, 1837285106, 1837285051]",7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,7113.444987794721,7.0,49794.11491456305,,False,77.62268497170885,12.94690951047143
nan,apartments,Godavari Block,ಗೋದಾವರಿ ಬ್ಲಾಕ್,nan,nan,nan,nan,"[1837284887, 1837284876, 1837284883, 1837284878, 1837284860, 1837284857, 1837284899, 1837284915, 1837284900, 1837284901, 1837284962, 1837284965, 1837284887]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,7092.434431170908,,7092.434431170908,,False,77.6245886963935,12.943677587489665
nan,apartments,Ganga Block,ಗಂಗಾ ಬ್ಲಾಕ್,nan,nan,nan,nan,"[1837285173, 1837285195, 1837285197, 1837285201, 1837285199, 1837285211, 1837285241, 1837285232, 1837285227, 1837285217, 1837285223, 1837285209, 1837285173]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,6423.72627837933,,6423.72627837933,,False,77.62173767495179,12.94818721002304
nan,apartments,Tungabhadra Block,ತುಂಗಭದ್ರ ಬ್ಲಾಕ್,nan,nan,nan,nan,"[1837284840, 1837284847, 1837284849, 1837284853, 1837284850, 1837284855, 1837284889, 1837284880, 1837284874, 1837284858, 1837284861, 1837284856, 1837284840]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,7113.584137519613,,7113.584137519613,,False,77.62533707170884,12.942959810471432
nan,apartments,Cauvery Block,ಕಾವೇರಿ ಬ್ಲಾಕ್,nan,nan,nan,nan,"[1837285049, 1837285057, 1837285061, 1837285071, 1837285069, 1837285076, 1837285148, 1837285128, 1837285117, 1837285108, 1837285111, 1837285077, 1837285049]",7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,residential,6920.187613629467,7.0,48441.31329540627,,False,77.6210587064731,12.94683906467122
